China,1305738000
India,1011054000
United States of America,382307000
Indonesia,338426000
Brazil,257814000
Russia,227288000
Japan,158591000
Nigeria,150830000
Bangladesh,133720000
Pakistan,125900000
Vietnam,122000000
Philippines,120255000
Mexico,106831000
Germany,96360000
Egypt,94016000
Italy,92520000
South Africa,85197000
Thailand,84797000
United Kingdom ,80284000
Iran,74219000
Turkey,73639000
France,66681000
Ukraine,60720000
Argentina,60664000
Korea (South),58935000
Colombia,57327000
Poland,56838000
Saudi Arabia,52796000
Spain,50926000
Algeria,45928000
Malaysia,44111000
Morocco,43080000
Ethiopia,42312000
Myanmar (Burma),41529000
Tanzania,39666000
Congo (Democratic Republic),37753000
Kenya,37716000
Ghana,35008000
Peru,34236000
Iraq,33559000
Australia,31770000
Kazakhstan,31390000
Taiwan,29681000
Canada,29390000
Venezuela,29094000
Sudan,27939000
Nepal,27516000
C�te d'Ivoire (Ivory Coast),25408000
Sri Lanka,24385000
Chile,23206000
Romania,23120000
Mali,22699000
Uzbekistan,21783000
Cambodia,20851000
Netherlands,20809000
Uganda,20220000
Mozambique,20135000
Afghanistan,19709000
Guatemala,18121000
United Arab Emirates,17943000
Yemen,17359000
Cameroon,16807000
Hong Kong,16736000
Senegal,14959000
Tunisia,14598000
Burkina Faso,14447000
Czech Republic,13925000
Syria,13904000
Angola,13885000
Jordan,13798000
Austria,13471000
Belgium,12938000
Ecuador,12888000
Zimbabwe,12757000
Greece,12682000
Sweden,12639000
Hungary,11786000
Portugal,11715000
Switzerland,11700000
Zambia,11558000
Belarus,11448000
Madagascar,11152000
Guinea,10764000
Azerbaijan,10697000
Israel,10570000
Bolivia,10163000
Libya,9918000
El Salvador,9334000
Benin,9318000
Bulgaria,9195000
Serbia,9156000
Niger,8959000
Dominican Republic,8797000
Rwanda,8760000
Tajikistan,8489000
Kuwait,8305000
Singapore,8211000
Honduras,8048000
Turkmenistan,7842000
Kyrgyzstan,7579000
Costa Rica,7536000
Haiti,7412000
Paraguay,7412000
Finland,7399000
Denmark,7266000
Nicaragua,7264000
Panama,6947000
Slovakia,6676000
Oman,6647000
Malawi,6116000
Norway,5841000
Somalia,5836000
Sierra Leone,5657000
New Zealand,5600000
Georgia,5551000
Uruguay,5495000
Chad,5466000
Congo (Republic),5216000
Burundi,4998000
Ireland,4902000
Togo,4657000
Croatia,4416000
Lebanon,4400000
Lithuania,4184000
Laos,3727000
Moldova,3713000
Liberia,3652000
Mauritania,3644000
Qatar,3610000
Papua New Guinea,3560000
Palestinian Territories,3531000
Botswana,3475000
Bosnia and Herzegovina,3444000
Armenia,3442000
Albania,3401000
Cuba,3335000
Korea (North),3240000
Puerto Rico,3205000
Jamaica,3137000
Mongolia,3068000
Gabon,2958000
South Sudan,2899000
Gambia,2586000
Latvia,2579000
Bahrain,2519000
Namibia,2443000
Slovenia,2354000
Lesotho,2237000
Macedonia,2223000
Trinidad and Tobago,2123000
Estonia,1904000
Macau,1896000
Mauritius,1762000
East Timor,1377000
Guinea-Bissau,1238000
Cyprus,1111000
Montenegro,1008000
Suriname,991000
Central African Republic,982000
Fiji,966000
Swaziland,941000
Luxembourg,807000
Maldives,740000
Bhutan,676000
Cape Verde,646000
Kosovo,562000
Malta,558000
Guyana,543000
Equatorial Guinea,533000
Eritrea,475000
Brunei,463000
Solomon Islands,425000
Comoros,422000
Iceland,384000
Barbados,335000
Djibouti,312000
Bahamas,311000
French Polynesia,268000
New Caledonia,246000
Saint Lucia,188000
Guam,181000
Vanuatu,175000
Belize,170000
Seychelles,148000
Aruba,141000
S�o Tom� and Pr�ncipe,132000
Antigua and Barbuda,126000
Grenada,120000
Saint Vincent and the Grenadines,113000
Samoa,113000
Jersey,112400
Cayman Islands,93000
Dominica,77000
Saint Kitts and Nevis,73000
Andorra,71000
Tonga,70000
Guernsey,67500
Faroe Islands,63000
Greenland,61000
Bermuda,59500
British Virgin Islands,42000
Kiribati,41000
Liechtenstein,41000
Gibraltar,38000
San Marino,37000
Monaco,34000
Micronesia,31400
Anguilla,26000
Palau,24000
Marshall Islands,16000
Cook Islands,7800
Nauru,6800
Falkland Islands,5000
Montserrat,5000
Tuvalu,4000
"Saint Helena, Ascension and Tristan da Cunha",1267
